id,name,set,setCode,number,rarity,color,type,cost,power,life,attribute,effect,imageUrl,artist
ST01-001,Monkey D. Luffy,Romance Dawn,ST01,001,Leader,Red,Character,0,5000,5,Straw Hat Crew,[DON!! x1] [When Attacking] Give up to 1 of your Leader or Character cards +1000 power during this turn.,https://en.onepiece-cardgame.com/images/cardlist/card/ST01-001.png,Eiichiro Oda
ST01-002,Roronoa Zoro,Romance Dawn,ST01,002,Common,Red,Character,2,3000,,Straw Hat Crew|Swordsman,[DON!! x1] [When Attacking] This Character gains +1000 power during this turn.,https://en.onepiece-cardgame.com/images/cardlist/card/ST01-002.png,Eiichiro Oda
ST01-007,Nami,Romance Dawn,ST01,007,Rare,Red,Character,1,2000,,Straw Hat Crew,[On Play] Draw 1 card.,https://en.onepiece-cardgame.com/images/cardlist/card/ST01-007.png,Eiichiro Oda
ST01-013,Roronoa Zoro,Romance Dawn,ST01,013,Super Rare,Red,Character,4,5000,,Straw Hat Crew|Swordsman,[On Play] K.O. up to 1 of your opponent's Characters with 3000 power or less.,https://en.onepiece-cardgame.com/images/cardlist/card/ST01-013.png,Eiichiro Oda
OP01-001,Portgas D. Ace,Romance Dawn Booster,OP01,001,Leader,Red,Character,0,5000,5,Whitebeard Pirates,[DON!! x1] [When Attacking] You may trash 1 card from the top of your Life cards: This Leader gains +1000 power during this turn.,https://en.onepiece-cardgame.com/images/cardlist/card/OP01-001.png,Eiichiro Oda
OP01-024,Tony Tony Chopper,Romance Dawn Booster,OP01,024,Common,Red,Character,1,2000,,Animal|Straw Hat Crew,[On Play] If your Leader has the {Straw Hat Crew} type draw 1 card.,https://en.onepiece-cardgame.com/images/cardlist/card/OP01-024.png,Eiichiro Oda
OP01-060,Crocodile,Romance Dawn Booster,OP01,060,Super Rare,Blue,Character,7,8000,,The Seven Warlords of the Sea,[On Play] K.O. up to 1 of your opponent's Characters with 4000 power or less.,https://en.onepiece-cardgame.com/images/cardlist/card/OP01-060.png,Eiichiro Oda
OP01-121,Shanks,Romance Dawn Booster,OP01,121,Secret Rare,Red,Character,9,10000,,Red Hair Pirates|Four Emperors,[On Play] Draw 1 card. Then K.O. up to 1 of your opponent's Characters with 7000 power or less.,https://en.onepiece-cardgame.com/images/cardlist/card/OP01-121.png,Eiichiro Oda
OP01-050,Nico Robin,Romance Dawn Booster,OP01,050,Rare,Red,Character,3,4000,,Straw Hat Crew,[On Play] This Character gains +1000 power during this turn.,https://en.onepiece-cardgame.com/images/cardlist/card/OP01-050.png,Eiichiro Oda
OP01-051,Sanji,Romance Dawn Booster,OP01,051,Rare,Red,Character,3,4000,,Straw Hat Crew,[On Play] This Character gains +1000 power during this turn.,https://en.onepiece-cardgame.com/images/cardlist/card/OP01-051.png,Eiichiro Oda
